,X,Y,Z,W,X.1,Y.1,Z.1,Frame number
0,0.58457,0.653068,0.399851,-0.268141,-1.026725,0.413402,1.089476,600
1,0.584801,0.653876,0.398803,-0.267225,-1.026704,0.413427,1.089507,600
2,0.584795,0.653673,0.39904,-0.267382,-1.026709,0.413405,1.089508,600
3,0.584733,0.654247,0.398511,-0.266904,-1.026711,0.413444,1.089528,600
4,0.584779,0.654175,0.398473,-0.267035,-1.0267,0.413427,1.089507,633
5,0.584735,0.653806,0.398924,-0.267362,-1.026711,0.413418,1.089487,633
6,0.584724,0.653258,0.399598,-0.267721,-1.026713,0.413405,1.089488,633
7,0.584795,0.654829,0.397764,-0.266455,-1.026693,0.413468,1.089514,633
8,0.584915,0.654554,0.397983,-0.266541,-1.026687,0.413451,1.089518,633
9,0.584737,0.653276,0.399538,-0.267736,-1.026739,0.413393,1.08947,633
10,0.584831,0.654343,0.398357,-0.266683,-1.02671,0.413436,1.089523,633
11,0.584807,0.654505,0.398026,-0.266832,-1.026696,0.413451,1.089498,667
12,0.584817,0.654974,0.397664,-0.266198,-1.026696,0.413481,1.089536,667
13,0.584833,0.654379,0.398276,-0.266713,-1.0267,0.41344,1.089499,667
14,0.58481,0.654731,0.397868,-0.266506,-1.026686,0.413441,1.089514,667
15,0.584872,0.655049,0.397451,-0.266212,-1.026683,0.413468,1.089526,667
16,0.584421,0.65173,0.401508,-0.269243,-1.02676,0.41334,1.089457,667
17,0.584869,0.654651,0.397919,-0.266495,-1.02669,0.413451,1.089516,667
18,0.584867,0.654589,0.397983,-0.266558,-1.026688,0.413445,1.089513,700
19,0.584931,0.654531,0.398022,-0.266504,-1.026695,0.413433,1.089507,700
20,0.584907,0.654802,0.397753,-0.266292,-1.026688,0.413453,1.089522,700
21,0.58464,0.653904,0.399021,-0.267184,-1.026704,0.413423,1.089515,700
22,0.584738,0.653665,0.39906,-0.267497,-1.026719,0.41341,1.089481,700
23,0.584627,0.653136,0.399704,-0.268071,-1.026723,0.413401,1.089469,700
24,0.584862,0.654779,0.397724,-0.266491,-1.026687,0.413463,1.089514,733
25,0.584819,0.654129,0.398487,-0.26704,-1.026708,0.413443,1.089502,733
26,0.584938,0.65472,0.397735,-0.266452,-1.026692,0.41346,1.089514,733
27,0.584981,0.655186,0.397212,-0.26599,-1.026685,0.41347,1.089535,733
28,0.584715,0.654099,0.398621,-0.267141,-1.026705,0.41343,1.089493,733
29,0.584866,0.654465,0.398141,-0.266628,-1.026696,0.41345,1.089512,733
30,0.584773,0.654001,0.398767,-0.267037,-1.026714,0.41343,1.089517,733
31,0.58476,0.653779,0.398981,-0.26729,-1.02672,0.41342,1.089485,767
32,0.584908,0.654332,0.398191,-0.266789,-1.026692,0.413431,1.089508,767
33,0.584826,0.654901,0.397714,-0.266283,-1.026713,0.413458,1.089521,767
34,0.584765,0.6541,0.398619,-0.26703,-1.026698,0.413425,1.089508,767
35,0.584814,0.654174,0.398516,-0.266896,-1.026699,0.413427,1.089504,767
36,0.584709,0.654104,0.398617,-0.267149,-1.026693,0.413428,1.089493,767
37,0.584913,0.655089,0.397393,-0.266108,-1.026679,0.413459,1.089534,767
38,0.58479,0.654377,0.398249,-0.26685,-1.026698,0.413438,1.0895,800
39,0.584879,0.65528,0.397172,-0.266045,-1.026685,0.413481,1.089537,800
40,0.584705,0.654791,0.397945,-0.266474,-1.026693,0.413449,1.089534,800
41,0.584866,0.655028,0.397493,-0.266213,-1.026688,0.413459,1.089518,800
42,0.584779,0.654982,0.397744,-0.266141,-1.026682,0.413455,1.089544,800
43,0.584785,0.654442,0.398267,-0.266675,-1.026695,0.413432,1.089531,800
44,0.584942,0.654747,0.397763,-0.266334,-1.026692,0.413456,1.089523,833
45,0.584873,0.654675,0.397964,-0.266362,-1.026696,0.413449,1.089543,833
46,0.584913,0.65482,0.397739,-0.266256,-1.026703,0.413451,1.089546,833
47,0.584985,0.65482,0.3976,-0.266304,-1.026688,0.413453,1.089511,833
48,0.584759,0.653944,0.398773,-0.267199,-1.026721,0.413421,1.089489,833
49,0.58479,0.653707,0.399015,-0.267349,-1.026725,0.413405,1.089481,833
50,0.584814,0.654165,0.398516,-0.26692,-1.026702,0.413424,1.089505,833
51,0.584768,0.654492,0.398242,-0.266628,-1.026703,0.413431,1.08953,867
52,0.584765,0.653682,0.399042,-0.267423,-1.026723,0.413403,1.08948,867
53,0.584889,0.655274,0.397351,-0.265768,-1.026672,0.413478,1.089553,867
54,0.584827,0.653822,0.398809,-0.267293,-1.026709,0.41342,1.089476,867
55,0.584871,0.654412,0.398208,-0.266649,-1.026694,0.413436,1.089502,867
56,0.584995,0.654854,0.397608,-0.266187,-1.026688,0.413454,1.089518,867
57,0.584833,0.654114,0.398587,-0.266896,-1.026721,0.41343,1.089496,867
58,0.584902,0.654864,0.397726,-0.266189,-1.026694,0.413446,1.089544,900
59,0.584786,0.654187,0.398493,-0.266963,-1.0267,0.413428,1.089499,900
60,0.584983,0.654972,0.397484,-0.266106,-1.026688,0.413457,1.089526,900
61,0.584932,0.654427,0.398087,-0.266658,-1.026689,0.413431,1.089511,900
62,0.584912,0.65467,0.397888,-0.266404,-1.02669,0.413445,1.089522,900
63,0.584977,0.654736,0.39772,-0.266349,-1.026706,0.413449,1.089511,900
64,0.584824,0.654027,0.39857,-0.267155,-1.026701,0.413432,1.089499,933
65,0.585047,0.655689,0.39661,-0.265505,-1.026674,0.413482,1.089535,933
66,0.584898,0.654547,0.398001,-0.266568,-1.026699,0.413425,1.089498,933
67,0.58466,0.653216,0.399726,-0.26777,-1.026741,0.413394,1.089472,933
68,0.584843,0.654223,0.398463,-0.266794,-1.026709,0.413441,1.089521,933
69,0.584799,0.654065,0.398599,-0.267072,-1.02672,0.413432,1.089505,933
70,0.5849,0.65361,0.399032,-0.267319,-1.026715,0.413397,1.089471,933
71,0.585135,0.655465,0.396771,-0.265624,-1.026671,0.413472,1.089531,967
72,0.585487,0.6555,0.396488,-0.265183,-1.026659,0.413423,1.089503,967
73,0.586375,0.65731,0.3936,-0.263035,-1.026579,0.41346,1.089493,967
74,0.585964,0.656194,0.395234,-0.264284,-1.026606,0.413437,1.089476,967
75,0.586214,0.65647,0.394729,-0.263799,-1.02656,0.413435,1.089461,967
76,0.585638,0.656055,0.395829,-0.264461,-1.026589,0.413456,1.08951,967
77,0.584189,0.654097,0.39931,-0.267266,-1.026659,0.413477,1.089551,967
78,0.584281,0.654415,0.398799,-0.267052,-1.026626,0.413478,1.089538,1000
79,0.58412,0.652407,0.401109,-0.26885,-1.026677,0.413398,1.089476,1000
80,0.584235,0.653792,0.399534,-0.267576,-1.02664,0.413454,1.089526,1000
81,0.584116,0.653906,0.399593,-0.267473,-1.026649,0.413461,1.089544,1000
82,0.584313,0.654632,0.39863,-0.266703,-1.026646,0.413477,1.089556,1000
83,0.584344,0.654453,0.398718,-0.26694,-1.026638,0.413476,1.089529,1000
84,0.584329,0.653792,0.399428,-0.267531,-1.02665,0.413463,1.089512,1033
85,0.584196,0.653486,0.399865,-0.267915,-1.026653,0.41345,1.089505,1033
86,0.584126,0.653033,0.400428,-0.268333,-1.026673,0.41344,1.089491,1033
87,0.584164,0.653012,0.400347,-0.268423,-1.026675,0.413447,1.089485,1033
88,0.584125,0.653164,0.400397,-0.268062,-1.026676,0.413447,1.089523,1033
89,0.584157,0.653823,0.399645,-0.267507,-1.026648,0.413465,1.089539,1033
90,0.584206,0.654424,0.398905,-0.267034,-1.026635,0.413483,1.089564,1033
91,0.583933,0.652708,0.401064,-0.268594,-1.026675,0.413419,1.089505,1066
92,0.58424,0.653955,0.399333,-0.267469,-1.026644,0.413473,1.089522,1066
93,0.584244,0.653444,0.399895,-0.267871,-1.026643,0.413441,1.089503,1066
94,0.584257,0.653853,0.39941,-0.267566,-1.026639,0.413447,1.089522,1066
95,0.584339,0.65391,0.399298,-0.267417,-1.026648,0.413468,1.089523,1066
96,0.584254,0.654231,0.399036,-0.267207,-1.026637,0.413471,1.08953,1066
97,0.584047,0.652781,0.400867,-0.268463,-1.026678,0.413407,1.089511,1066
98,0.58427,0.653687,0.399607,-0.267651,-1.026643,0.413448,1.089518,1100
99,0.584474,0.654245,0.398748,-0.267122,-1.026642,0.413476,1.089521,1100
100,0.584297,0.65367,0.399587,-0.267662,-1.02664,0.413453,1.089518,1100
101,0.584279,0.654441,0.398859,-0.266903,-1.026635,0.413492,1.089559,1100
102,0.584063,0.653204,0.400335,-0.268192,-1.026681,0.41344,1.089518,1100
103,0.583888,0.652639,0.401024,-0.268917,-1.026684,0.413441,1.089476,1100
104,0.584158,0.653977,0.399467,-0.267393,-1.026649,0.41346,1.089541,1133
105,0.584169,0.652641,0.400798,-0.268639,-1.026679,0.413412,1.089473,1133
106,0.58405,0.653919,0.399594,-0.267581,-1.026657,0.413468,1.089543,1133
107,0.584486,0.654658,0.398339,-0.266692,-1.026635,0.413492,1.089529,1133
108,0.58424,0.653887,0.399374,-0.267574,-1.026642,0.413478,1.089523,1133
109,0.584163,0.653559,0.399822,-0.267875,-1.026647,0.41345,1.089507,1133
110,0.584288,0.653614,0.399625,-0.267762,-1.026647,0.413451,1.089512,1133
111,0.584049,0.653407,0.400143,-0.268016,-1.026685,0.413444,1.089523,1166
112,0.584089,0.652568,0.400949,-0.268766,-1.026679,0.413407,1.089489,1166
113,0.584229,0.654176,0.399162,-0.267209,-1.026645,0.413484,1.089568,1166
114,0.584187,0.653594,0.399789,-0.267785,-1.026656,0.413452,1.089519,1166
115,0.584369,0.654224,0.398915,-0.267152,-1.026645,0.413455,1.089528,1166
116,0.583977,0.652991,0.400718,-0.268326,-1.026666,0.413413,1.089524,1166
117,0.584375,0.65421,0.398948,-0.267125,-1.026623,0.413477,1.089542,1166
118,0.584061,0.653365,0.400277,-0.267889,-1.026661,0.413435,1.089542,1200
119,0.584088,0.65372,0.399828,-0.267637,-1.026648,0.413451,1.089549,1200
120,0.584157,0.653404,0.399989,-0.268016,-1.026645,0.413448,1.089513,1200
121,0.58416,0.65344,0.399972,-0.267946,-1.026646,0.413442,1.089514,1200
122,0.584143,0.653779,0.399693,-0.267574,-1.026653,0.413459,1.089545,1200
123,0.584271,0.653938,0.399279,-0.267523,-1.026645,0.41347,1.089516,1200
124,0.584287,0.654315,0.39891,-0.267118,-1.026639,0.41349,1.08954,1233
125,0.584229,0.652962,0.400396,-0.26833,-1.026682,0.41344,1.089487,1233
126,0.584055,0.653232,0.400364,-0.268098,-1.026674,0.413455,1.089523,1233
127,0.584173,0.653629,0.399684,-0.267889,-1.026665,0.413472,1.089519,1233
128,0.584197,0.653246,0.400098,-0.268152,-1.026662,0.413432,1.089506,1233
129,0.5846,0.655799,0.396994,-0.265642,-1.026631,0.41354,1.089552,1233
130,0.584164,0.653317,0.400081,-0.268077,-1.02666,0.413442,1.089508,1233
